MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_412.5;Rho_wn_IS_442.5;Rho_wn_IS_490;Rho_wn_IS_560;Rho_wn_IS_665;LwN_IS_412.5;LwN_IS_442.5;LwN_IS_490;LwN_IS_560;LwN_IS_665;Es_IS_412.5;Es_IS_442.5;Es_IS_490;Es_IS_560;Es_IS_665;AERONET_chla_IS;Surf_press_IS;Wind_speed_IS;O3_IS
AAOT_6257_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100826T092548Z;P10000100;M110100001110030101;    12.000;    41.603;       0.008620;       0.008318;       0.011912;       0.017002;       0.003941;       0.469246;       0.498255;       0.728885;       0.972228;       0.192162;     954.347033;    1110.353746;    1206.395285;    1150.613703;    1041.540630;       2.834735;    1016.186096;       2.102242;     310.275940
AAOT_6258_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100826T122603Z;P10000100;M110100001110030101;    12.000;    38.233;       0.008420;       0.008532;       0.012667;       0.017149;       0.004056;       0.458344;       0.511090;       0.775084;       0.980653;       0.197785;    1016.595482;    1179.332053;    1277.792716;    1217.520639;    1098.719041;       2.478574;    1015.480164;       2.801091;     310.228973
AAOT_6259_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100826T124624Z;P10000100;M110100001110030101;    12.000;    40.198;       0.008324;       0.008413;       0.012158;       0.017630;       0.003942;       0.453150;       0.503939;       0.743951;       1.008180;       0.192227;     980.911455;    1139.773747;    1236.825520;    1179.110783;    1065.881405;       2.948297;    1015.351746;       2.828610;     310.223663
AAOT_6260_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100828T092520Z;P10000100;M110100001110030101;    12.000;    42.152;       0.010563;       0.011089;       0.017151;       0.019849;       0.004325;       0.575021;       0.664247;       1.049467;       1.135077;       0.210883;     945.757940;    1100.371521;    1195.537565;    1140.071636;    1032.208236;       1.680329;    1006.529419;       1.951968;     309.525574
AAOT_6261_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100828T104555Z;P10000100;M110100001110030101;    12.000;    35.912;       0.011354;       0.011741;       0.016923;       0.020761;       0.004445;       0.618060;       0.703292;       1.035516;       1.187216;       0.216742;    1058.648740;    1225.494908;    1325.096565;    1261.536545;    1136.039860;       1.947721;    1006.824951;       1.524426;     309.504578
AAOT_6262_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100828T111913Z;P10000100;M110100001110030101;    12.000;    35.507;       0.011564;       0.012537;       0.017617;       0.021544;       0.004315;       0.629518;       0.750982;       1.077948;       1.231978;       0.210424;    1065.433407;    1233.012839;    1332.881708;    1268.839858;    1142.282282;       1.935590;    1006.947083;       1.347750;     309.495911
AAOT_6263_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100828T114557Z;P10000100;M110100001110030101;    12.000;    36.204;       0.011709;       0.012707;       0.017502;       0.021477;       0.005146;       0.637378;       0.761172;       1.070901;       1.228167;       0.250903;    1053.645948;    1219.965896;    1319.389031;    1256.200028;    1131.485762;       1.953520;    1007.045105;       1.205914;     309.488953
AAOT_6264_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100828T122534Z;P10000100;M110100001110030101;    12.000;    38.848;       0.011361;       0.012793;       0.017658;       0.020882;       0.005214;       0.618444;       0.766311;       1.080481;       1.194155;       0.254231;    1007.241862;    1168.570337;    1266.206659;    1206.361161;    1088.899816;       1.782849;    1007.204773;       1.420933;     309.478607
AAOT_6265_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100829T124539Z;P10000100;M110100001110030101;    12.000;    41.134;       0.009618;       0.010161;       0.012400;       0.008777;       0.001060;       0.523556;       0.608703;       0.758715;       0.501888;       0.051673;     963.722985;    1120.642788;    1216.953196;    1160.550521;    1049.892904;       0.442653;    1013.769348;       3.052163;     309.098145
AAOT_6266_b_oc;AAOT;GiuseppeZibordi;    45.314;    12.508;20100829T141854Z;P10000100;M110100001110030101;    12.000;    53.693;       0.008754;       0.008891;       0.011436;       0.008653;       0.001036;       0.476545;       0.532589;       0.699770;       0.494827;       0.050525;     701.243928;     828.683986;     913.795167;     876.100573;     806.233857;       0.543782;    1013.146179;       2.533534;     309.073853
