MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_412.5;Rho_wn_IS_442.5;Rho_wn_IS_490;Rho_wn_IS_560;Rho_wn_IS_665;LwN_IS_412.5;LwN_IS_442.5;LwN_IS_490;LwN_IS_560;LwN_IS_665;Es_IS_412.5;Es_IS_442.5;Es_IS_490;Es_IS_560;Es_IS_665;AERONET_chla_IS;Surf_press_IS;Wind_speed_IS;O3_IS
HLH_614_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20090913T075056Z;P10000000;M110100001110030101;    19.000;    62.335;            NaN;       0.000749;       0.002526;       0.004359;       0.001617;            NaN;       0.044863;       0.154535;       0.249262;       0.078841;     534.181982;     638.225009;     709.337952;     677.711169;     627.793135;       2.967799;    1015.957825;       3.653744;     291.772095
HLH_615_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20090913T085056Z;P10000000;M110100001110030101;    19.000;    58.154;       0.000486;       0.000781;       0.002562;       0.004434;       0.001686;       0.026447;       0.046807;       0.156743;       0.253549;       0.082203;     635.107279;     750.984036;     826.738920;     787.856645;     722.281684;       2.987315;    1016.295227;       3.355719;     291.742493
HLH_616_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20090913T105056Z;P10000000;M110100001110030101;    19.000;    56.137;       0.001012;       0.001830;       0.003606;       0.004997;       0.002042;       0.055090;       0.109618;       0.220664;       0.285762;       0.099586;     682.491331;     803.795707;     881.635292;     839.365170;     766.411583;       1.583886;    1016.970154;       2.759669;     291.683258
HLH_617_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20090913T113015Z;P10000000;M110100001110030101;    19.000;    57.522;       0.000139;       0.000837;       0.003172;       0.004997;       0.001989;       0.007564;       0.050115;       0.194116;       0.285761;       0.096971;     649.906073;     767.516862;     843.969012;     804.064107;     736.185854;       2.306920;    1017.191223;       2.564380;     291.663879
HLH_618_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20090913T115059Z;P10000000;M110100001110030101;    19.000;    58.575;       0.000108;       0.001069;       0.002920;       0.004779;       0.001997;       0.005882;       0.064061;       0.178690;       0.273262;       0.097378;     624.899909;     739.646155;     815.007742;     776.913861;     712.925701;       2.537164;    1017.307861;       2.461396;     291.653625
HLH_619_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20090914T102943Z;P10000000;M110100001110030101;    19.000;    56.201;            NaN;       0.001342;       0.002652;       0.004589;       0.001719;            NaN;       0.080377;       0.162288;       0.262433;       0.083822;     679.667824;     800.960902;     879.079574;     837.381678;     764.854194;       2.934425;    1023.902344;       5.673677;     290.983124
HLH_620_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20090914T105033Z;P10000000;M110100001110030101;    19.000;    56.525;       0.000058;       0.001592;       0.003066;       0.004733;       0.001546;       0.003163;       0.095337;       0.187609;       0.270630;       0.075407;     672.069276;     792.506810;     870.308622;     829.166604;     757.823643;       2.145068;    1024.052124;       5.500784;     290.972870
HLH_621_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20090915T075018Z;P10000000;M110100001110030101;    19.000;    62.996;       0.000129;       0.000674;       0.002623;       0.004466;       0.001735;       0.007048;       0.040370;       0.160518;       0.255360;       0.084606;     516.294170;     618.566520;     689.332626;     659.531313;     612.329021;       2.862825;    1025.368530;       2.511563;     290.351196
HLH_622_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20090915T102925Z;P10000000;M110100001110030101;    19.000;    56.587;       0.000571;       0.001237;       0.002917;       0.004933;       0.001966;       0.031064;       0.074125;       0.178488;       0.282090;       0.095845;     670.442542;     790.737935;     868.539127;     827.638756;     756.494608;       2.768980;    1024.966431;       1.196095;     290.272675
HLH_623_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20090915T105015Z;P10000000;M110100001110030101;    19.000;    56.915;       0.000560;       0.001289;       0.002930;       0.004849;       0.002022;       0.030482;       0.077225;       0.179267;       0.277301;       0.098612;     662.771391;     782.191364;     859.659157;     819.311543;     749.361521;       2.602393;    1024.913818;       1.023859;     290.262390
HLH_624_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20090915T112928Z;P10000000;M110100001110030101;    19.000;    58.261;       0.000734;       0.001678;       0.003050;       0.004867;       0.002167;       0.039940;       0.100505;       0.186608;       0.278290;       0.105667;     630.975070;     746.748157;     822.820740;     784.764319;     719.762290;       2.325326;    1024.814697;       0.699642;     290.243042
HLH_625_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20090915T115018Z;P10000000;M110100001110030101;    19.000;    59.360;       0.000236;       0.001369;       0.002990;       0.005065;       0.002042;       0.012820;       0.082020;       0.182949;       0.289661;       0.099579;     604.727521;     717.459969;     792.356690;     756.190300;     695.268000;       2.773832;    1024.762085;       0.527407;     290.232758
HLH_626_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20090915T122933Z;P10000000;M110100001110030101;    19.000;    62.025;       0.000150;       0.000797;       0.002684;       0.004805;       0.001770;       0.008152;       0.047756;       0.164256;       0.274750;       0.086317;     540.229046;     645.344616;     717.227891;     685.689762;     634.767499;       3.282577;    1024.454346;       0.866935;     290.213409
HLH_627_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20090915T125022Z;P10000000;M110100001110030101;    19.000;    63.759;            NaN;       0.000671;       0.002335;       0.004748;       0.001839;            NaN;       0.040178;       0.142877;       0.271502;       0.089690;     497.707076;     597.675525;     667.467437;     638.972786;     594.620206;       4.674213;    1024.254761;       1.162611;     290.203125
HLH_628_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20090920T084833Z;P10000000;M110100001110030101;    19.000;    60.759;            NaN;       0.000779;       0.002617;       0.004120;       0.001855;            NaN;       0.046668;       0.160106;       0.235624;       0.090460;     572.977683;     681.546244;     754.441144;     720.231913;     664.090114;       2.290211;    1013.902588;       5.434805;     289.389191
HLH_629_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20090921T084808Z;P10000000;M110100001110030101;    19.000;    61.119;       0.000117;       0.000763;       0.002602;       0.004763;       0.001749;       0.006369;       0.045708;       0.159238;       0.272354;       0.085281;     565.087501;     672.530411;     744.815485;     711.012294;     656.041198;       3.492889;    1009.132324;       4.612296;     289.166779
HLH_630_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20090921T094807Z;P10000000;M110100001110030101;    19.000;    59.051;            NaN;       0.001519;       0.003345;       0.004965;       0.001802;            NaN;       0.091018;       0.204685;       0.283930;       0.087884;     615.001043;     728.274392;     802.838047;     765.447668;     702.728975;       1.930485;    1009.353210;       4.703516;     289.157501
HLH_631_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20090921T102715Z;P10000000;M110100001110030101;    19.000;    58.904;            NaN;       0.001334;       0.003214;       0.004535;       0.001772;            NaN;       0.079940;       0.196674;       0.259335;       0.086419;     618.480623;     732.161752;     806.887889;     769.252987;     705.993908;       1.680373;    1009.497314;       4.763029;     289.151459
HLH_632_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20090921T114811Z;P10000000;M110100001110030101;    19.000;    61.623;       0.000058;       0.001397;       0.003185;       0.005304;       0.002377;       0.003184;       0.083714;       0.194855;       0.303303;       0.115891;     552.691582;     658.697432;     730.439308;     697.557966;     644.510094;       2.642894;    1009.795349;       4.886110;     289.138947
HLH_633_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20100503T072549Z;P10000000;M110100001110030101;    19.000;    54.051;       0.001095;       0.002102;       0.003414;       0.007115;       0.002280;       0.059629;       0.125925;       0.208895;       0.406857;       0.111162;     730.702643;     857.079566;     934.552600;     878.198920;     805.115051;       4.885845;    1016.592590;       1.720885;     376.488251
HLH_634_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20100503T085108Z;P10000000;M110100001110030101;    19.000;    46.894;       0.001294;       0.002646;       0.003560;       0.007456;       0.002377;       0.070462;       0.158477;       0.217836;       0.426342;       0.115917;     887.063937;    1030.550983;    1114.163746;    1046.255702;     948.933097;       4.899017;    1016.687866;       1.382202;     376.454773
HLH_635_b_oc;HelsinkiLighthouse;GiuseppeZibordi;    59.949;    24.926;20100503T093026Z;P10000000;M110100001110030101;    19.000;    45.014;       0.001319;       0.002092;       0.003366;       0.007023;       0.002280;       0.071792;       0.125338;       0.205930;       0.401580;       0.111151;     925.568444;    1073.188366;    1158.250679;    1087.504418;     984.190521;       4.898870;    1016.731750;       1.226193;     376.439362
