MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_413;Rho_wn_IS_441;Rho_wn_IS_489;Rho_wn_IS_551;Rho_wn_IS_668;Rho_wn_IS_869;LwN_IS_413;LwN_IS_441;LwN_IS_489;LwN_IS_530;LwN_IS_551;LwN_IS_668;LwN_IS_869;ExactWavelength_IS_413;ExactWavelength_IS_441;ExactWavelength_IS_489;ExactWavelength_IS_530;ExactWavelength_IS_551;ExactWavelength_IS_668;ExactWavelength_IS_869;AERONET_chla_IS;Surf_press_IS;Wind_speed_IS;O3_IS
CoveSEAPRISM_12_b_oc;CoveSEAPRISM;GregSchuster;    36.900;   -75.710;20060512T120101Z;P10000100;M110100101110010101;    21.000;    67.030;       0.011968;       0.012580;       0.020046;       0.024338;       0.006372;       0.001303;       0.654294;       0.746476;       1.222466;       1.855896;       1.448797;       0.308297;       0.039072;     413.000000;     441.799988;     489.299988;     530.599976;     551.599976;     668.200012;     869.900024;       3.096907;    1002.431885;       3.858974;     343.965790
CoveSEAPRISM_13_b_oc;CoveSEAPRISM;GregSchuster;    36.900;   -75.710;20060512T123101Z;P10000100;M110100101110010101;    21.000;    61.046;       0.013941;       0.014390;       0.022129;       0.024508;       0.006936;       0.001270;       0.762194;       0.853861;       1.349515;       2.004396;       1.458958;       0.335576;       0.038093;     413.000000;     441.799988;     489.299988;     530.599976;     551.599976;     668.200012;     869.900024;       2.463724;    1002.458191;       3.827179;     343.963867
CoveSEAPRISM_14_b_oc;CoveSEAPRISM;GregSchuster;    36.900;   -75.710;20060512T130103Z;P10000100;M110100101110010101;    21.000;    55.047;       0.013569;       0.015016;       0.021773;       0.026686;       0.006371;       0.000973;       0.741842;       0.891044;       1.327800;       1.966730;       1.588587;       0.308255;       0.029183;     413.000000;     441.799988;     489.299988;     530.599976;     551.599976;     668.200012;     869.900024;       3.179067;    1002.484497;       3.795348;     343.961914
CoveSEAPRISM_15_b_oc;CoveSEAPRISM;GregSchuster;    36.900;   -75.710;20060512T133255Z;P10000100;M110100101110010101;    21.000;    48.874;       0.013315;       0.015574;       0.022382;       0.026862;       0.006380;       0.001021;       0.727960;       0.924147;       1.364948;       1.902050;       1.599067;       0.308671;       0.030639;     413.000000;     441.799988;     489.299988;     530.599976;     551.599976;     668.200012;     869.900024;       3.015242;    1002.512390;       3.761574;     343.959839
CoveSEAPRISM_16_b_oc;CoveSEAPRISM;GregSchuster;    36.900;   -75.710;20060512T141121Z;P10000100;M110100101110010101;    21.000;    41.232;       0.013605;       0.016365;       0.023452;       0.027385;       0.006130;       0.000581;       0.743797;       0.971073;       1.430204;       1.875001;       1.630213;       0.296589;       0.017429;     413.000000;     441.799988;     489.299988;     530.599976;     551.599976;     668.200012;     869.900024;       2.814814;    1002.546021;       3.720840;     343.957336
CoveSEAPRISM_17_b_oc;CoveSEAPRISM;GregSchuster;    36.900;   -75.710;20060512T143258Z;P10000100;M110100101110010101;    21.000;    37.227;       0.014984;       0.015627;       0.022788;       0.027179;       0.006511;       0.001038;       0.819201;       0.927272;       1.389730;       1.882159;       1.617915;       0.315026;       0.031127;     413.000000;     441.799988;     489.299988;     530.599976;     551.599976;     668.200012;     869.900024;       2.966879;    1002.564941;       3.697930;     343.955933
CoveSEAPRISM_18_b_oc;CoveSEAPRISM;GregSchuster;    36.900;   -75.710;20060512T150528Z;P10000100;M110100101110010101;    21.000;    31.212;       0.015535;       0.015851;       0.023211;       0.027716;       0.006197;       0.000553;       0.849296;       0.940565;       1.415525;       1.888581;       1.649873;       0.299837;       0.016590;     413.000000;     441.799988;     489.299988;     530.599976;     551.599976;     668.200012;     869.900024;       2.975319;    1002.593445;       3.663485;     343.953827
CoveSEAPRISM_19_b_oc;CoveSEAPRISM;GregSchuster;    36.900;   -75.710;20060512T153300Z;P10000100;M110100101110010101;    21.000;    26.552;       0.015019;       0.017606;       0.024009;       0.027729;       0.006754;       0.001287;       0.821130;       1.044732;       1.464149;       1.837403;       1.650659;       0.326780;       0.038620;     413.000000;     441.799988;     489.299988;     530.599976;     551.599976;     668.200012;     869.900024;       2.741996;    1002.617554;       3.634304;     343.952057
CoveSEAPRISM_20_b_oc;CoveSEAPRISM;GregSchuster;    36.900;   -75.710;20060512T160532Z;P10000100;M110100101110010101;    21.000;    22.104;       0.014357;       0.017032;       0.023223;       0.027187;       0.006204;       0.000523;       0.784890;       1.010628;       1.416246;       1.808582;       1.618420;       0.300170;       0.015687;     413.000000;     441.799988;     489.299988;     530.599976;     551.599976;     668.200012;     869.900024;       2.836432;    1002.645996;       3.599823;     343.949921
CoveSEAPRISM_21_b_oc;CoveSEAPRISM;GregSchuster;    36.900;   -75.710;20060513T120101Z;P10000100;M110100101110010101;    21.000;    66.893;       0.010813;       0.012805;       0.020064;       0.022596;       0.005117;       0.001824;       0.591137;       0.759854;       1.223609;       1.807644;       1.345113;       0.247592;       0.054699;     413.000000;     441.799988;     489.299988;     530.599976;     551.599976;     668.200012;     869.900024;       2.566529;    1006.426636;       2.704270;     343.872345
CoveSEAPRISM_22_b_oc;CoveSEAPRISM;GregSchuster;    36.900;   -75.710;20060513T123102Z;P10000100;M110100101110010101;    21.000;    60.910;       0.013271;       0.013799;       0.020330;       0.024596;       0.005713;       0.001202;       0.725523;       0.818795;       1.239803;       1.844397;       1.464182;       0.276421;       0.036049;     413.000000;     441.799988;     489.299988;     530.599976;     551.599976;     668.200012;     869.900024;       3.075148;    1006.445679;       2.611936;     343.870392
CoveSEAPRISM_23_b_oc;CoveSEAPRISM;GregSchuster;    36.900;   -75.710;20060513T130103Z;P10000100;M110100101110010101;    21.000;    54.912;       0.013796;       0.014957;       0.021005;       0.024500;       0.006058;       0.001282;       0.754241;       0.887529;       1.280937;       1.920440;       1.458424;       0.293114;       0.038464;     413.000000;     441.799988;     489.299988;     530.599976;     551.599976;     668.200012;     869.900024;       2.808304;    1006.464722;       2.519601;     343.868439
CoveSEAPRISM_24_b_oc;CoveSEAPRISM;GregSchuster;    36.900;   -75.710;20060513T133256Z;P10000100;M110100101110010101;    21.000;    48.736;       0.013570;       0.015338;       0.022719;       0.026180;       0.005929;       0.000832;       0.741892;       0.910130;       1.385498;       1.844042;       1.558454;       0.286865;       0.024971;     413.000000;     441.799988;     489.299988;     530.599976;     551.599976;     668.200012;     869.900024;       2.720893;    1006.484985;       2.421525;     343.866364
CoveSEAPRISM_25_b_oc;CoveSEAPRISM;GregSchuster;    36.900;   -75.710;20060513T141121Z;P10000100;M110100101110010101;    21.000;    41.087;       0.014097;       0.015369;       0.021521;       0.025834;       0.005703;       0.000762;       0.770720;       0.911976;       1.312426;       1.822391;       1.537874;       0.275901;       0.022861;     413.000000;     441.799988;     489.299988;     530.599976;     551.599976;     668.200012;     869.900024;       3.018898;    1006.509399;       2.303351;     343.863892
CoveSEAPRISM_26_b_oc;CoveSEAPRISM;GregSchuster;    36.900;   -75.710;20060514T113101Z;P10000100;M110100101110010101;    21.000;    72.692;       0.010130;       0.011778;       0.017773;       0.021315;       0.004149;       0.002007;       0.553832;       0.698901;       1.083878;       1.527886;       1.268840;       0.200761;       0.060193;     413.000000;     441.799988;     489.299988;     530.599976;     551.599976;     668.200012;     869.900024;       3.005990;    1007.949524;       1.416468;     343.780823
