MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_412.5;Rho_wn_IS_442.5;Rho_wn_IS_490;Rho_wn_IS_510;Rho_wn_IS_560;Rho_wn_IS_620;Rho_wn_IS_665;Rho_wn_IS_681.25;Rho_wn_IS_708.75;Rho_wn_IS_753.75;Rho_wn_IS_778.75;Rho_wn_IS_865;Rho_wn_IS_885;Lw_IS_412.5;Lw_IS_442.5;Lw_IS_490;Lw_IS_510;Lw_IS_560;Lw_IS_620;Lw_IS_665;Lw_IS_681.25;Lw_IS_708.75;Lw_IS_753.75;Lw_IS_778.75;Lw_IS_865;Lw_IS_885;Es_IS_412.5;Es_IS_442.5;Es_IS_490;Es_IS_510;Es_IS_560;Es_IS_620;Es_IS_665;Es_IS_681.25;Es_IS_708.75;Es_IS_753.75;Es_IS_778.75;Es_IS_865;Es_IS_885;HPLC_chla_ONLY_IS
MUMMTriOS-Belgica07-16_569_b_oc;MUMMTriOS-Belgica07-16;KevinRuddick;    51.353;     3.130;20070710T060100Z;P10100100;M122200001200020100;     3.000;    71.565;       0.026144;       0.032904;       0.045544;       0.049385;       0.057527;       0.040373;       0.029608;       0.027549;       0.018815;       0.001728;       0.001201;            NaN;            NaN;       2.172534;       3.338742;       5.585805;       6.055711;       7.077602;       4.047500;       2.826366;       2.518594;       1.510139;       0.128312;       0.088950;            NaN;            NaN;     210.903458;     243.089279;     264.906464;     256.613434;     241.497955;     214.005295;     209.245987;     201.695099;     181.797134;     166.782364;     165.233597;     112.141182;     106.511375;            NaN
MUMMTriOS-Belgica07-16_570_b_oc;MUMMTriOS-Belgica07-16;KevinRuddick;    51.356;     3.130;20070710T061800Z;P10100100;M122200001200020100;     3.000;    68.963;       0.026597;       0.032739;       0.044233;       0.047816;       0.055393;       0.039956;       0.030397;       0.028547;       0.020984;       0.006081;       0.005801;       0.003364;       0.002971;       1.880988;       3.023860;       5.394260;       6.003356;       7.435010;       4.462311;       3.237582;       2.915608;       1.857563;       0.498899;       0.473866;       0.223598;       0.187208;     180.171066;     222.197174;     264.717804;     264.256134;     265.498322;     241.199615;     236.495209;     228.524109;     203.525223;     189.183594;     188.264343;     153.436325;     145.513657;            NaN
MUMMTriOS-Belgica07-16_571_b_oc;MUMMTriOS-Belgica07-16;KevinRuddick;    51.357;     3.130;20070710T063900Z;P10100100;M122200001200020100;     3.000;    65.716;       0.029850;       0.036790;       0.049627;       0.053644;       0.062060;       0.045913;       0.035413;       0.033528;       0.025007;       0.007769;       0.007445;       0.004646;       0.004174;       1.431657;       2.112544;       3.416134;       3.687427;       4.338103;       2.520842;       1.795603;       1.612693;       1.020665;       0.298619;       0.283519;       0.141955;       0.119890;     122.692688;     138.825897;     150.330231;     145.702087;     139.583923;     120.246696;     114.287521;     109.424248;      95.416313;      89.998283;      89.120781;      71.522095;      67.224350;            NaN
MUMMTriOS-Belgica07-16_572_b_oc;MUMMTriOS-Belgica07-16;KevinRuddick;    51.357;     3.130;20070710T070000Z;P10100100;M122200001200020100;     3.000;    62.447;       0.025389;       0.032264;       0.045318;       0.049506;       0.058354;       0.041229;       0.030333;       0.028422;       0.020179;       0.004009;       0.003659;       0.001238;       0.000995;       0.491252;       0.761469;       1.321677;       1.450968;       1.770103;       0.960235;       0.644962;       0.569606;       0.329857;       0.061749;       0.055233;       0.014784;       0.010915;      49.613934;      57.247391;      64.017426;      62.510136;      61.113148;      51.677315;      48.602543;      46.302261;      38.763950;      36.263908;      35.434231;      27.323608;      24.823277;            NaN
MUMMTriOS-Belgica08-10_573_b_oc;MUMMTriOS-Belgica08-10;KevinRuddick;    51.515;     3.316;20080424T104000Z;P10100100;M122200001200020100;     7.000;    40.841;       0.009511;       0.008618;       0.009640;       0.011225;       0.020860;       0.016983;       0.010765;       0.012318;       0.016641;       0.005379;       0.004774;       0.002899;       0.002526;       2.459271;       2.565448;       3.135887;       3.577961;       6.482790;       4.777386;       2.867341;       3.128920;       3.941633;       1.113775;       0.975243;       0.478498;       0.401625;     726.004089;     832.732117;     906.548462;     888.213196;     864.436523;     786.698364;     748.604736;     721.528442;     671.041687;     588.569092;     580.202271;     468.713776;     451.654816;      48.090000
MUMMTriOS-Belgica08-10_574_b_oc;MUMMTriOS-Belgica08-10;KevinRuddick;    51.437;     2.813;20080423T125300Z;P10100100;M122200001200020100;    20.000;    41.122;       0.009741;       0.008552;       0.008239;       0.008919;       0.013199;       0.009718;       0.008378;       0.011034;       0.008864;       0.005503;       0.004868;       0.004291;       0.004205;       1.856406;       1.932037;       2.176354;       2.346975;       3.519542;       2.139651;       1.709337;       2.127372;       1.508593;       0.841574;       0.734266;       0.524336;       0.491491;     533.108948;     607.952454;     658.527771;     642.765625;     625.424988;     567.910522;     540.345459;     520.858826;     469.377930;     422.171936;     416.216125;     337.225494;     322.536560;      17.809999
MUMMTriOS-Belgica08-10_575_b_oc;MUMMTriOS-Belgica08-10;KevinRuddick;    51.582;     2.790;20080424T070000Z;P10100100;M122200001200020100;    32.000;    68.712;       0.007874;       0.006866;       0.006964;       0.007981;       0.012236;       0.007182;       0.006084;       0.007757;       0.005607;       0.003490;       0.003252;       0.002938;       0.002873;       1.110963;       1.227283;       1.580083;       1.855111;       2.993324;       1.485691;       1.215323;       1.495018;       0.982256;       0.530073;       0.490938;       0.363163;       0.342032;     367.868317;     441.907898;     505.203247;     500.509033;     491.944519;     459.419708;     458.414917;     444.119110;     418.353180;     370.239288;     368.927307;     304.239899;     293.536255;       8.740000
MUMMTriOS-Belgica08-10_576_b_oc;MUMMTriOS-Belgica08-10;KevinRuddick;    51.382;     3.219;20080425T101900Z;P10100100;M122200001200020100;     3.000;    41.992;       0.019822;       0.020828;       0.027310;       0.032053;       0.052838;       0.047271;       0.030893;       0.029813;       0.042825;       0.014138;       0.013302;       0.007254;       0.005968;       6.264539;       7.652781;      11.065450;      12.766890;      20.639053;      16.843781;      10.476332;       9.694421;      12.926124;       3.782855;       3.514468;       1.558128;       1.236045;     881.238953;    1019.208923;    1120.084473;    1100.834595;    1078.697388;     988.430908;     943.337463;     909.915039;     845.374146;     749.552856;     740.250061;     601.519287;     579.969543;      49.130001
MUMMTriOS-Belgica08-10_577_b_oc;MUMMTriOS-Belgica08-10;KevinRuddick;    51.392;     3.308;20080425T080700Z;P10100100;M122200001200020100;     3.000;    57.937;       0.015217;       0.014380;       0.016009;       0.018009;       0.028509;       0.026849;       0.018529;       0.020397;       0.027225;       0.010444;       0.009491;       0.006460;       0.005835;       2.192698;       2.497860;       3.318742;       3.743133;       6.038842;       4.653065;       2.997682;       3.136756;       3.797836;       1.322258;       1.191390;       0.660565;       0.573023;     374.247040;     427.733276;     462.850159;     451.696564;     436.455994;     394.678894;     379.768646;     366.179962;     341.037201;     309.322266;     306.680817;     249.669281;     239.685745;      56.900002
MUMMTriOS-Belgica08-10_578_b_oc;MUMMTriOS-Belgica08-10;KevinRuddick;    51.251;     2.177;20080423T170500Z;P10100100;M122200001200020100;    21.000;    73.244;       0.005941;       0.004594;       0.004110;       0.004668;       0.007136;       0.003155;       0.002757;       0.005229;       0.002038;       0.000219;            NaN;            NaN;            NaN;       0.552980;       0.556291;       0.650819;       0.758790;       1.218377;       0.468759;       0.412489;       0.762732;       0.264067;            NaN;            NaN;            NaN;            NaN;     238.885986;     294.955597;     349.541046;     348.142914;     344.055023;     328.171143;     339.699005;     331.733490;     307.574524;     283.658539;     306.680817;     249.669281;     239.685745;       7.760000
