MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_412.5;Rho_wn_IS_442.5;Rho_wn_IS_490;Rho_wn_IS_560;Rho_wn_IS_665;LwN_IS_412.5;LwN_IS_442.5;LwN_IS_490;LwN_IS_560;LwN_IS_665;Es_IS_412.5;Es_IS_442.5;Es_IS_490;Es_IS_560;Es_IS_665;AERONET_chla_IS;Surf_press_IS;Wind_speed_IS;O3_IS
GDT_273_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060730T055818Z;P10000000;M110100001110030101;     8.000;    66.301;       0.000538;       0.002807;       0.005502;       0.008162;       0.001806;       0.029272;       0.168170;       0.336643;       0.466735;       0.088082;     406.670885;     494.558439;     559.140570;     536.263051;     509.729419;       1.928743;    1007.646118;       4.251015;     324.085663
GDT_274_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060730T062821Z;P10000000;M110100001110030101;     8.000;    62.423;       0.001712;       0.003153;       0.006107;       0.008799;       0.002087;       0.093174;       0.188878;       0.373663;       0.503144;       0.101778;     500.132374;     599.926075;     669.681950;     640.144126;     599.525395;       1.776008;    1007.785522;       4.164007;     324.072418
GDT_275_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060730T072822Z;P10000000;M110100001110030101;     8.000;    54.961;       0.002574;       0.003949;       0.006019;       0.009183;       0.002007;       0.140137;       0.236584;       0.368292;       0.525119;       0.097851;     674.351748;     794.865684;     872.985216;     830.940137;     763.649086;       2.062402;    1008.070312;       3.972627;     324.045929
GDT_276_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060730T090927Z;P10000000;M110100001110030101;     8.000;    44.652;       0.004046;       0.004689;       0.007070;       0.009928;       0.002141;       0.220241;       0.280892;       0.432571;       0.567705;       0.104385;     893.616653;    1038.607912;    1125.895185;    1068.023161;     966.749239;       1.642682;    1008.550110;       3.650293;     324.001343
GDT_277_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060730T133020Z;P10000000;M110100001110030101;     8.000;    48.880;       0.003430;       0.004072;       0.006899;       0.009855;       0.001984;       0.186699;       0.243954;       0.422126;       0.563534;       0.096744;     807.169330;     942.705808;    1026.561508;     974.989649;     887.145860;       1.733393;    1009.252319;       2.985608;     323.886261
GDT_278_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060730T140336Z;P10000000;M110100001110030101;     8.000;    52.444;       0.002814;       0.003994;       0.006503;       0.010066;       0.001989;       0.153180;       0.239273;       0.397930;       0.575631;       0.096979;     730.369850;     857.314810;     937.947284;     891.925952;     815.978490;       2.157654;    1009.212891;       2.941108;     323.871582
GDT_279_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060730T142818Z;P10000000;M110100001110030101;     8.000;    55.364;       0.001717;       0.002412;       0.006765;       0.010086;       0.001909;       0.093459;       0.144496;       0.413932;       0.576778;       0.093089;     665.005413;     784.491732;     862.257460;     820.951653;     755.092971;       1.984781;    1009.183594;       2.908067;     323.860687
GDT_280_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060801T120923Z;P10000000;M110100001110030101;     8.000;    42.608;       0.003165;       0.003982;       0.006345;       0.009318;       0.002334;       0.172286;       0.238548;       0.388225;       0.532819;       0.113823;     934.186260;    1083.358669;    1172.001974;    1111.170006;    1003.430378;       1.854153;    1003.895386;       3.171733;     322.651367
GDT_281_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060801T123016Z;P10000000;M110100001110030101;     8.000;    43.955;       0.002754;       0.003676;       0.006008;       0.009187;       0.002249;       0.149928;       0.220228;       0.367631;       0.525365;       0.109655;     908.215433;    1054.575783;    1142.206051;    1083.254593;     979.559573;       2.075443;    1003.827637;       3.259957;     322.642151
GDT_282_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060801T130916Z;P10000000;M110100001110030101;     8.000;    47.160;       0.003248;       0.003655;       0.005987;       0.009313;       0.002155;       0.176828;       0.218922;       0.366328;       0.532563;       0.105078;     844.020376;     983.372315;    1068.451673;    1014.146524;     920.436079;       2.179057;    1003.701111;       3.424717;     322.624939
GDT_283_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060801T133013Z;P10000000;M110100001110030101;     8.000;    49.201;       0.003070;       0.003799;       0.005899;       0.009096;       0.002104;       0.167112;       0.227560;       0.360969;       0.520144;       0.102597;     801.462732;     936.117550;    1019.463358;     968.236062;     881.132765;       2.121727;    1003.633118;       3.513223;     322.615692
GDT_284_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060801T140330Z;P10000000;M110100001110030101;     8.000;    52.758;       0.002599;       0.003639;       0.006096;       0.008863;       0.002221;       0.141459;       0.217961;       0.372994;       0.506843;       0.108294;     724.505971;     850.544228;     930.652526;     884.984537;     809.799166;       1.808020;    1003.525146;       3.653833;     322.601013
GDT_285_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060804T123011Z;P10000000;M110100001110030101;     8.000;    44.707;       0.002549;       0.003388;       0.004693;       0.006853;       0.001758;       0.138783;       0.202941;       0.287165;       0.391904;       0.085739;     892.104879;    1037.043563;    1124.481973;    1067.211901;     965.900939;       1.812518;    1010.683838;       7.352485;     320.736267
GDT_286_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060804T130914Z;P10000000;M110100001110030101;     8.000;    47.892;       0.001362;       0.002715;       0.004600;       0.006714;       0.001504;       0.074169;       0.162651;       0.281461;       0.383960;       0.073315;     827.551420;     965.420682;    1050.278354;     997.682205;     906.410289;       1.834039;    1010.745178;       7.375302;     320.719055
GDT_287_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060804T133012Z;P10000000;M110100001110030101;     8.000;    49.922;       0.002114;       0.003207;       0.005227;       0.007181;       0.002055;       0.115083;       0.192115;       0.319828;       0.410655;       0.100189;     784.788884;     917.919472;    1001.020743;     951.517060;     866.882420;       1.539769;    1010.778076;       7.387552;     320.709778
GDT_288_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060804T140324Z;P10000000;M110100001110030101;     8.000;    53.462;       0.001114;       0.002706;       0.005074;       0.006632;       0.001906;       0.060641;       0.162070;       0.310491;       0.379257;       0.092948;     707.508897;     831.943975;     911.760075;     867.836368;     795.165689;       1.350029;    1010.830261;       7.406951;     320.695160
GDT_289_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060805T065811Z;P10000000;M110100001110030101;     8.000;    59.752;       0.000310;       0.001460;       0.003667;       0.005872;       0.001550;       0.016860;       0.087431;       0.224352;       0.335769;       0.075580;     562.659149;     670.290986;     743.566448;     710.196378;     659.784132;       2.387097;    1013.132202;       9.999410;     320.247437
GDT_290_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060806T092955Z;P10000000;M110100001110030101;     8.000;    44.739;       0.001601;       0.002738;       0.005046;       0.006974;       0.001792;       0.087168;       0.164037;       0.308776;       0.398799;       0.087380;     890.832151;    1035.788421;    1123.392808;    1066.494190;     965.297542;       1.577559;    1013.934570;       8.436017;     319.545197
GDT_291_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060806T123016Z;P10000000;M110100001110030101;     8.000;    45.235;       0.001840;       0.002418;       0.004654;       0.006768;       0.001826;       0.100163;       0.144817;       0.284759;       0.386999;       0.089024;     881.102316;    1024.973245;    1112.164467;    1055.958111;     956.265987;       1.814724;    1013.401367;       8.533383;     319.465637
GDT_292_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060806T130902Z;P10000000;M110100001110030101;     8.000;    48.406;       0.001432;       0.002437;       0.004874;       0.006706;       0.001830;       0.077929;       0.145968;       0.298205;       0.383464;       0.089223;     816.361288;     953.109196;    1037.678976;     986.144911;     896.516911;       1.560622;    1013.165955;       8.370143;     319.448517
GDT_293_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060806T132957Z;P10000000;M110100001110030101;     8.000;    50.329;       0.001149;       0.002372;       0.004461;       0.006637;       0.001961;       0.062554;       0.142119;       0.272959;       0.379543;       0.095643;     775.650763;     907.867656;     990.745938;     942.147354;     858.835842;       1.925711;    1013.038940;       8.282066;     319.439301
GDT_294_b_oc;GustavDalenTower;GiuseppeZibordi;    58.594;    17.467;20060807T120929Z;P10000000;M110100001110030101;     8.000;    44.177;       0.002104;       0.003406;       0.005058;       0.007895;       0.001796;       0.114557;       0.204033;       0.309484;       0.451500;       0.087569;     902.972190;    1048.994829;    1136.786571;    1078.875572;     975.692252;       2.191418;    1008.442444;       5.120110;     318.839508
