pixel (FR) \ band	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
43	1715.71	1883.52	1929.86	1926.74	1801.36	1650.23	1531.34	1471.24	1406.75	1266.13	1250.01	1176.33	958.97	929.68	895.37
44	1715.70	1883.49	1929.84	1926.75	1801.38	1650.23	1531.35	1471.24	1406.76	1266.13	1250.01	1176.33	958.97	929.68	895.37
45	1715.69	1883.45	1929.83	1926.77	1801.39	1650.24	1531.35	1471.25	1406.77	1266.12	1250.01	1176.34	958.97	929.68	895.37
46	1715.69	1883.42	1929.82	1926.79	1801.40	1650.24	1531.35	1471.26	1406.78	1266.12	1250.01	1176.34	958.96	929.68	895.37
47	1715.68	1883.38	1929.80	1926.80	1801.41	1650.24	1531.35	1471.26	1406.78	1266.12	1250.01	1176.35	958.96	929.68	895.37
48	1715.68	1883.35	1929.79	1926.82	1801.42	1650.25	1531.35	1471.27	1406.79	1266.12	1250.02	1176.36	958.96	929.68	895.37
49	1715.67	1883.31	1929.78	1926.84	1801.44	1650.25	1531.36	1471.27	1406.80	1266.12	1250.02	1176.36	958.95	929.68	895.37
50	1715.66	1883.28	1929.76	1926.85	1801.45	1650.25	1531.36	1471.28	1406.81	1266.12	1250.02	1176.37	958.95	929.68	895.37
51	1715.66	1883.24	1929.75	1926.87	1801.46	1650.26	1531.36	1471.29	1406.82	1266.12	1250.02	1176.38	958.95	929.68	895.37
52	1715.65	1883.21	1929.74	1926.89	1801.47	1650.26	1531.36	1471.29	1406.83	1266.12	1250.03	1176.38	958.94	929.68	895.37
53	1715.65	1883.17	1929.72	1926.90	1801.48	1650.27	1531.37	1471.30	1406.83	1266.12	1250.03	1176.39	958.94	929.68	895.37
54	1715.64	1883.14	1929.71	1926.92	1801.49	1650.27	1531.37	1471.31	1406.84	1266.12	1250.03	1176.39	958.94	929.69	895.38
55	1715.63	1883.10	1929.70	1926.94	1801.51	1650.27	1531.37	1471.31	1406.85	1266.12	1250.03	1176.40	958.93	929.69	895.38
56	1715.63	1883.07	1929.68	1926.95	1801.52	1650.28	1531.37	1471.32	1406.86	1266.12	1250.03	1176.41	958.93	929.69	895.38
57	1715.62	1883.03	1929.67	1926.97	1801.53	1650.28	1531.37	1471.32	1406.87	1266.12	1250.04	1176.41	958.93	929.69	895.38
58	1715.62	1883.00	1929.66	1926.98	1801.54	1650.28	1531.38	1471.33	1406.87	1266.12	1250.04	1176.42	958.92	929.69	895.38
59	1715.61	1882.96	1929.64	1927.00	1801.55	1650.29	1531.38	1471.34	1406.88	1266.12	1250.04	1176.42	958.92	929.69	895.38
60	1715.60	1882.93	1929.63	1927.02	1801.57	1650.29	1531.38	1471.34	1406.89	1266.12	1250.04	1176.43	958.92	929.69	895.38
61	1715.60	1882.89	1929.62	1927.03	1801.58	1650.30	1531.38	1471.35	1406.90	1266.11	1250.05	1176.44	958.91	929.69	895.38
62	1715.59	1882.86	1929.60	1927.05	1801.59	1650.30	1531.39	1471.36	1406.91	1266.11	1250.05	1176.44	958.91	929.69	895.38
63	1715.59	1882.82	1929.59	1927.07	1801.60	1650.30	1531.39	1471.36	1406.91	1266.11	1250.05	1176.45	958.90	929.69	895.38
64	1715.58	1882.79	1929.58	1927.08	1801.61	1650.31	1531.39	1471.37	1406.92	1266.11	1250.05	1176.46	958.90	929.69	895.38
65	1715.57	1882.75	1929.56	1927.10	1801.63	1650.31	1531.39	1471.38	1406.93	1266.11	1250.05	1176.46	958.90	929.70	895.38
66	1715.57	1882.72	1929.55	1927.12	1801.64	1650.32	1531.39	1471.38	1406.94	1266.11	1250.06	1176.47	958.89	929.70	895.39
67	1715.56	1882.68	1929.54	1927.13	1801.65	1650.32	1531.40	1471.39	1406.95	1266.11	1250.06	1176.47	958.89	929.70	895.39
68	1715.55	1882.65	1929.52	1927.15	1801.66	1650.32	1531.40	1471.39	1406.96	1266.11	1250.06	1176.48	958.89	929.70	895.39
69	1715.55	1882.61	1929.51	1927.16	1801.67	1650.33	1531.40	1471.40	1406.96	1266.11	1250.06	1176.49	958.88	929.70	895.39
70	1715.54	1882.58	1929.50	1927.18	1801.69	1650.33	1531.40	1471.41	1406.97	1266.11	1250.07	1176.49	958.88	929.70	895.39
71	1715.54	1882.54	1929.48	1927.20	1801.70	1650.33	1531.41	1471.41	1406.98	1266.11	1250.07	1176.50	958.88	929.70	895.39
72	1715.53	1882.51	1929.47	1927.21	1801.71	1650.34	1531.41	1471.42	1406.99	1266.11	1250.07	1176.51	958.87	929.70	895.39
73	1715.52	1882.47	1929.46	1927.23	1801.72	1650.34	1531.41	1471.43	1407.00	1266.11	1250.07	1176.51	958.87	929.70	895.39
74	1715.52	1882.44	1929.45	1927.24	1801.73	1650.35	1531.41	1471.43	1407.00	1266.11	1250.07	1176.52	958.87	929.70	895.39
75	1715.51	1882.40	1929.43	1927.26	1801.74	1650.35	1531.41	1471.44	1407.01	1266.11	1250.08	1176.52	958.86	929.70	895.39
76	1715.50	1882.37	1929.42	1927.28	1801.76	1650.35	1531.42	1471.44	1407.02	1266.11	1250.08	1176.53	958.86	929.70	895.39
77	1715.50	1882.33	1929.41	1927.29	1801.77	1650.36	1531.42	1471.45	1407.03	1266.11	1250.08	1176.54	958.86	929.71	895.39
78	1715.49	1882.30	1929.39	1927.31	1801.78	1650.36	1531.42	1471.46	1407.04	1266.10	1250.08	1176.54	958.85	929.71	895.39
79	1715.49	1882.27	1929.38	1927.33	1801.79	1650.36	1531.42	1471.46	1407.04	1266.10	1250.09	1176.55	958.85	929.71	895.40
80	1715.48	1882.23	1929.37	1927.34	1801.80	1650.37	1531.42	1471.47	1407.05	1266.10	1250.09	1176.56	958.85	929.71	895.40
81	1715.47	1882.20	1929.36	1927.36	1801.82	1650.37	1531.43	1471.48	1407.06	1266.10	1250.09	1176.56	958.84	929.71	895.40
82	1715.47	1882.16	1929.34	1927.37	1801.83	1650.38	1531.43	1471.48	1407.07	1266.10	1250.09	1176.57	958.84	929.71	895.40
83	1715.46	1882.13	1929.33	1927.39	1801.84	1650.38	1531.43	1471.49	1407.08	1266.10	1250.09	1176.57	958.83	929.71	895.40
