MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_412;Rho_wn_IS_440;Rho_wn_IS_490;Rho_wn_IS_555;Rho_wn_IS_668;Rho_wn_IS_868;LwN_IS_412;LwN_IS_440;LwN_IS_490;LwN_IS_530;LwN_IS_555;LwN_IS_668;LwN_IS_868;ExactWavelength_IS_412;ExactWavelength_IS_440;ExactWavelength_IS_490;ExactWavelength_IS_530;ExactWavelength_IS_555;ExactWavelength_IS_668;ExactWavelength_IS_868;AERONET_chla_IS;Surf_press_IS;Wind_speed_IS;O3_IS
PAL_13_b_oc;Palgrunden;SusanneKratzer;    58.755;    13.152;20080712T123443Z;P10000000;M110100001110030101;     5.000;    39.576;       0.001164;       0.002510;       0.004880;       0.008121;       0.003392;       0.000084;       0.063340;       0.148535;       0.301518;    -999.000000;       0.475798;       0.164111;       0.002507;     412.600006;     440.799988;     490.500000;    -999.000000;     555.099976;     668.400024;     868.599976;       7.036079;     996.350464;       3.176479;     336.314453
PAL_14_b_oc;Palgrunden;SusanneKratzer;    58.755;    13.152;20080712T131409Z;P10000000;M110100001110030101;     5.000;    42.695;       0.001037;       0.002147;       0.004412;       0.007531;       0.003049;       0.000069;       0.056429;       0.127020;       0.272577;    -999.000000;       0.441224;       0.147497;       0.002077;     412.600006;     440.799988;     490.500000;    -999.000000;     555.099976;     668.400024;     868.599976;       7.554433;     996.396301;       3.514106;     336.297546
PAL_15_b_oc;Palgrunden;SusanneKratzer;    58.755;    13.152;20080712T133444Z;P10000000;M110100001110030101;     5.000;    44.582;       0.000686;       0.001667;       0.004361;       0.007317;       0.002928;            NaN;       0.037353;       0.098623;       0.269452;    -999.000000;       0.428685;       0.141662;      -0.000840;     412.600006;     440.799988;     490.500000;    -999.000000;     555.099976;     668.400024;     868.599976;       7.221723;     996.420227;       3.690339;     336.288757
PAL_16_b_oc;Palgrunden;SusanneKratzer;    58.755;    13.152;20080713T143449Z;P10000000;M110100001110030101;     5.000;    51.285;       0.000393;       0.001907;       0.004096;       0.007473;       0.003543;            NaN;       0.021372;       0.112860;       0.253086;    -999.000000;       0.437836;       0.171407;      -0.010406;     412.600006;     440.799988;     490.500000;    -999.000000;     555.099976;     668.400024;     868.599976;       9.104208;    1002.764832;       4.432291;     335.646576
PAL_17_b_oc;Palgrunden;SusanneKratzer;    58.755;    13.152;20080714T110814Z;P10000000;M110100001110030101;     5.000;    37.119;       0.001322;       0.002484;       0.004845;       0.008647;       0.003609;       0.000136;       0.071967;       0.146974;       0.299354;    -999.000000;       0.506653;       0.174616;       0.004085;     412.600006;     440.799988;     490.500000;    -999.000000;     555.099976;     668.400024;     868.599976;       8.548369;    1005.720947;       4.681205;     335.118561
PAL_18_b_oc;Palgrunden;SusanneKratzer;    58.755;    13.152;20080715T093503Z;P10000000;M110100001110030101;     5.000;    41.217;       0.001664;       0.003336;       0.006699;       0.009945;       0.004316;       0.000422;       0.090580;       0.197361;       0.413886;    -999.000000;       0.582686;       0.208781;       0.012638;     412.600006;     440.799988;     490.500000;    -999.000000;     555.099976;     668.400024;     868.599976;       5.167533;    1005.563354;       6.771338;     334.541992
PAL_19_b_oc;Palgrunden;SusanneKratzer;    58.755;    13.152;20080717T070314Z;P10000000;M110100001110030101;     5.000;    57.901;       0.000737;       0.002615;       0.006435;       0.011652;       0.004752;       0.000633;       0.040102;       0.154741;       0.397553;    -999.000000;       0.682729;       0.229883;       0.018976;     412.600006;     440.799988;     490.500000;    -999.000000;     555.099976;     668.400024;     868.599976;       8.931812;     998.159119;       5.273429;     333.292358
PAL_20_b_oc;Palgrunden;SusanneKratzer;    58.755;    13.152;20080717T123512Z;P10000000;M110100001110030101;     5.000;    40.356;       0.001273;       0.003360;       0.007142;       0.011634;       0.005133;       0.000314;       0.069310;       0.198817;       0.441224;    -999.000000;       0.681674;       0.248332;       0.009410;     412.600006;     440.799988;     490.500000;    -999.000000;     555.099976;     668.400024;     868.599976;       6.646813;     998.339172;       5.668444;     333.142029
PAL_21_b_oc;Palgrunden;SusanneKratzer;    58.755;    13.152;20080719T121445Z;P10000000;M110100001110030101;     5.000;    39.483;       0.000203;       0.001962;       0.006224;       0.010710;       0.004521;            NaN;       0.011045;       0.116116;       0.384538;    -999.000000;       0.627505;       0.218712;      -0.003481;     412.600006;     440.799988;     490.500000;    -999.000000;     555.099976;     668.400024;     868.599976;       7.761408;     999.552307;      10.011227;     331.847107
PAL_22_b_oc;Palgrunden;SusanneKratzer;    58.755;    13.152;20080721T101459Z;P10000000;M110100001110030101;     5.000;    39.811;       0.001996;       0.003238;       0.006037;       0.009609;       0.004335;       0.000204;       0.108633;       0.191614;       0.372974;    -999.000000;       0.563027;       0.209719;       0.006123;     412.600006;     440.799988;     490.500000;    -999.000000;     555.099976;     668.400024;     868.599976;       6.228826;    1002.840027;       3.844069;     330.597168
PAL_23_b_oc;Palgrunden;SusanneKratzer;    58.755;    13.152;20080721T103531Z;P10000000;M110100001110030101;     5.000;    38.956;       0.002101;       0.003534;       0.006305;       0.010219;       0.004345;       0.000245;       0.114346;       0.209111;       0.389561;    -999.000000;       0.598731;       0.210190;       0.007336;     412.600006;     440.799988;     490.500000;    -999.000000;     555.099976;     668.400024;     868.599976;       6.537291;    1002.917664;       3.836994;     330.587891
PAL_24_b_oc;Palgrunden;SusanneKratzer;    58.755;    13.152;20080721T110851Z;P10000000;M110100001110030101;     5.000;    38.337;       0.001812;       0.002964;       0.005877;       0.009895;       0.004242;       0.000205;       0.098656;       0.175402;       0.363127;    -999.000000;       0.579783;       0.205224;       0.006153;     412.600006;     440.799988;     490.500000;    -999.000000;     555.099976;     668.400024;     868.599976;       7.269382;    1003.043762;       3.825510;     330.572784
