MATCHUP_ID;site;PI;lat_IS;lon_IS;TIME_IS;PQC;MQC;land_dist_IS;thetas_IS;thetav_IS;dphi_IS;rho_wn_IS_412;rho_wn_IS_443;rho_wn_IS_490;rho_wn_IS_510;rho_wn_IS_560;rho_wn_IS_620;rho_wn_IS_665;rho_wn_IS_681;rho_wn_IS_708;rho_wn_IS_753;rho_wn_IS_778;rho_wn_IS_865;rho_wn_IS_885;Lu_IS_412;Lu_IS_443;Lu_IS_490;Lu_IS_510;Lu_IS_560;Lu_IS_620;Lu_IS_665;Lu_IS_681;Lu_IS_708;Lu_IS_753;Lu_IS_778;Lu_IS_865;Lu_IS_885;Ld_IS_412;Ld_IS_443;Ld_IS_490;Ld_IS_510;Ld_IS_560;Ld_IS_620;Ld_IS_665;Ld_IS_681;Ld_IS_708;Ld_IS_753;Ld_IS_778;Ld_IS_865;Ld_IS_885;Ed_IS_412;Ed_IS_443;Ed_IS_490;Ed_IS_510;Ed_IS_560;Ed_IS_620;Ed_IS_665;Ed_IS_681;Ed_IS_708;Ed_IS_753;Ed_IS_778;Ed_IS_865;Ed_IS_885
FBOX_302_b_oc;FerryBox;KaiSoerensen;    55.038;    11.000;20090914T150855Z;P10100100;M110100001110030101;     4.000;    69.656;    40.000;   245.857;  1.1968595e-02;  1.2835354e-02;  1.3774090e-02;  1.3982280e-02;  1.4072676e-02;  1.1518925e-02;  1.1583983e-02;  1.2288072e-02;  1.0997619e-02;  1.0299670e-02;  1.0790861e-02;  1.0674367e-02;  1.0267396e-02;  2.6246200e+00;  2.9935801e+00;  3.2826600e+00;  3.2098801e+00;  2.9991300e+00;  2.2265501e+00;  2.0781500e+00;  2.0216300e+00;  1.6961300e+00;  1.4332600e+00;  1.4490000e+00;  1.1319600e+00;  1.0523800e+00;  5.5274780e+01;  5.9092781e+01;  5.9179401e+01;  5.6197922e+01;  5.0664391e+01;  4.3815620e+01;  4.1319561e+01;  3.9145741e+01;  3.5471790e+01;  3.0487640e+01;  3.0196301e+01;  2.3561171e+01;  2.2363501e+01;  2.5071492e+02;  2.7141296e+02;  2.7304343e+02;  2.6149341e+02;  2.3478293e+02;  2.0197279e+02;  1.9045039e+02;  1.8097769e+02;  1.6014091e+02;  1.4150266e+02;  1.4002496e+02;  1.1073988e+02;  1.0435569e+02
FBOX_303_b_oc;FerryBox;KaiSoerensen;    55.040;    11.002;20090914T150915Z;P10100100;M110100001110030101;     4.000;    69.789;    40.000;   245.933;  1.2967106e-02;  1.3747907e-02;  1.4407368e-02;  1.4525005e-02;  1.4541969e-02;  1.2708119e-02;  1.2896154e-02;  1.3463280e-02;  1.2825117e-02;  1.2170335e-02;  1.2551066e-02;  1.2604826e-02;  1.2511230e-02;  3.0998399e+00;  3.7326200e+00;  4.4450498e+00;  4.4917202e+00;  4.5160398e+00;  3.5190201e+00;  3.4192901e+00;  3.3771901e+00;  2.8869400e+00;  2.5095699e+00;  2.5835199e+00;  2.1322100e+00;  2.0108700e+00;  5.1222691e+01;  5.3538940e+01;  5.1903358e+01;  4.8663528e+01;  4.2561569e+01;  3.5612091e+01;  3.2873001e+01;  3.0914240e+01;  2.7653490e+01;  2.3292999e+01;  2.2876770e+01;  1.7315781e+01;  1.6251600e+01;  3.4628891e+02;  4.0916577e+02;  4.6585764e+02;  4.6705725e+02;  4.6341125e+02;  4.3991302e+02;  4.4025006e+02;  4.2624493e+02;  3.8743787e+02;  3.5859488e+02;  3.6324142e+02;  3.0596707e+02;  2.9109201e+02
FBOX_304_b_oc;FerryBox;KaiSoerensen;    55.042;    11.003;20090914T150935Z;P10100100;M110100001110030101;     4.000;    69.790;    40.000;   246.008;  1.8436860e-03;  1.5476663e-03;  1.3730345e-03;  1.3016895e-03;  1.1053101e-03;  2.2129887e-04;  9.9897636e-05;  1.8312843e-04;            NaN;            NaN;            NaN;            NaN;            NaN;  1.2637900e+00;  1.3077000e+00;  1.2552800e+00;  1.1615500e+00;  9.7025001e-01;  6.1813998e-01;  5.3621000e-01;  5.1511002e-01;  4.1387999e-01;  3.3076999e-01;  3.2464001e-01;  2.4105000e-01;  2.2455999e-01;  3.9108490e+01;  4.0345619e+01;  3.7231159e+01;  3.3954361e+01;  2.7888269e+01;  2.2026880e+01;  1.9779671e+01;  1.8407530e+01;  1.6310730e+01;  1.3629390e+01;  1.3626150e+01;  1.0641530e+01;  1.0047950e+01;  3.5919769e+02;  4.2699545e+02;  4.8913562e+02;  4.9115820e+02;  4.8821048e+02;  4.6373737e+02;  4.6370786e+02;  4.4875461e+02;  4.0758823e+02;  3.7659079e+02;  3.8115714e+02;  3.1960541e+02;  3.0413556e+02
FBOX_305_b_oc;FerryBox;KaiSoerensen;    55.044;    11.004;20090914T150955Z;P10100100;M110100001110030101;     4.000;    69.791;    40.000;   246.084;  8.3922237e-03;  9.1283243e-03;  1.0342770e-02;  1.0671808e-02;  1.1063605e-02;  7.6877156e-03;  7.4713268e-03;  7.9148178e-03;  6.9447426e-03;  6.3209210e-03;  6.6432161e-03;  6.6160592e-03;  6.4530204e-03;  2.9229701e+00;  3.5578001e+00;  4.3876500e+00;  4.4866300e+00;  4.6166101e+00;  3.3704400e+00;  3.2327600e+00;  3.1863000e+00;  2.7033801e+00;  2.3256099e+00;  2.3936999e+00;  1.9604800e+00;  1.8437400e+00;  6.6652748e+01;  7.4350121e+01;  7.8992264e+01;  7.6681900e+01;  7.2459923e+01;  6.5902893e+01;  6.4024780e+01;  6.1209591e+01;  5.6358921e+01;  4.9384239e+01;  4.9480251e+01;  3.9814270e+01;  3.7891430e+01;  3.5771072e+02;  4.2507047e+02;  4.8650357e+02;  4.8837622e+02;  4.8531839e+02;  4.6093655e+02;  4.6100784e+02;  4.4613852e+02;  4.0545245e+02;  3.7467538e+02;  3.7911401e+02;  3.1821487e+02;  3.0266681e+02
FBOX_306_b_oc;FerryBox;KaiSoerensen;    55.045;    11.005;20090914T151015Z;P10100100;M110100001110030101;     4.000;    69.924;    40.000;   246.160;  1.5404125e-02;  1.6886242e-02;  1.8442418e-02;  1.8810907e-02;  1.9300634e-02;  1.6826576e-02;  1.7087096e-02;  1.7754116e-02;  1.7020864e-02;  1.6363825e-02;  1.6948632e-02;  1.7221645e-02;  1.7135143e-02;  3.7596300e+00;  4.7333999e+00;  5.9624000e+00;  6.1292200e+00;  6.3741999e+00;  5.0450201e+00;  4.9438901e+00;  4.8685098e+00;  4.2070098e+00;  3.7023699e+00;  3.8286400e+00;  3.1933801e+00;  3.0193901e+00;  6.0493111e+01;  6.6198853e+01;  6.8712059e+01;  6.6118881e+01;  6.1198792e+01;  5.4410259e+01;  5.2138130e+01;  4.9553570e+01;  4.5171490e+01;  3.8905159e+01;  3.8741570e+01;  3.0324650e+01;  2.8601280e+01;  3.5970599e+02;  4.2757593e+02;  4.8942972e+02;  4.9125568e+02;  4.8782382e+02;  4.6298135e+02;  4.6293384e+02;  4.4793005e+02;  4.0693878e+02;  3.7560846e+02;  3.8028339e+02;  3.1907388e+02;  3.0346094e+02
FBOX_307_b_oc;FerryBox;KaiSoerensen;    55.047;    11.006;20090914T151035Z;P10100100;M110100001110030101;     4.000;    69.925;    40.000;   246.235;  2.1090701e-02;  2.2808835e-02;  2.4127390e-02;  2.4372116e-02;  2.4626963e-02;  2.3262226e-02;  2.3876543e-02;  2.4571454e-02;  2.4129815e-02;  2.3445503e-02;  2.4240774e-02;  2.4608625e-02;  2.4474814e-02;  4.5810399e+00;  5.8166800e+00;  7.2959499e+00;  7.4832101e+00;  7.7557502e+00;  6.4957900e+00;  6.4384499e+00;  6.3122301e+00;  5.5424700e+00;  4.9321599e+00;  5.1110201e+00;  4.2889099e+00;  4.0580702e+00;  6.0737671e+01;  6.6654739e+01;  6.9457863e+01;  6.6951881e+01;  6.2282532e+01;  5.5694981e+01;  5.3599419e+01;  5.1033890e+01;  4.6682159e+01;  4.0435822e+01;  4.0344940e+01;  3.1884899e+01;  3.0219681e+01;  3.6106952e+02;  4.2953400e+02;  4.9214029e+02;  4.9397134e+02;  4.9070108e+02;  4.6593707e+02;  4.6606448e+02;  4.5094623e+02;  4.1000842e+02;  3.7833469e+02;  3.8304001e+02;  3.2141904e+02;  3.0565759e+02
FBOX_308_b_oc;FerryBox;KaiSoerensen;    55.049;    11.007;20090914T151055Z;P10100100;M110100001110030101;     4.000;    69.927;    40.000;   246.311;  1.1599482e-02;  1.2625440e-02;  1.3884801e-02;  1.4207521e-02;  1.4634114e-02;  1.1996698e-02;  1.2078232e-02;  1.2563787e-02;  1.1948087e-02;  1.1357523e-02;  1.1787691e-02;  1.1920528e-02;  1.1791395e-02;  3.1130700e+00;  3.8363400e+00;  4.7618499e+00;  4.8805099e+00;  5.0498099e+00;  3.8380201e+00;  3.7315099e+00;  3.6713099e+00;  3.1655600e+00;  2.7639101e+00;  2.8553300e+00;  2.3725300e+00;  2.2384701e+00;  5.6142681e+01;  6.0456730e+01;  6.1281639e+01;  5.8493141e+01;  5.3294750e+01;  4.6783760e+01;  4.4535889e+01;  4.2303051e+01;  3.8525249e+01;  3.3241409e+01;  3.3045040e+01;  2.6012739e+01;  2.4662310e+01;  3.6079611e+02;  4.2958215e+02;  4.9303088e+02;  4.9530859e+02;  4.9273413e+02;  4.6872501e+02;  4.6949814e+02;  4.5444229e+02;  4.1346021e+02;  3.8185773e+02;  3.8667633e+02;  3.2497305e+02;  3.0936169e+02
FBOX_309_b_oc;FerryBox;KaiSoerensen;    55.051;    11.008;20090914T151115Z;P10100100;M110100001110030101;     4.000;    70.059;    40.000;   246.386;  1.7442678e-02;  1.8976860e-02;  2.0494640e-02;  2.0789640e-02;  2.1140406e-02;  1.9036945e-02;  1.9375527e-02;  2.0011516e-02;  1.9446457e-02;  1.8604620e-02;  1.9159879e-02;  1.9224759e-02;  1.9041212e-02;  3.6688399e+00;  4.6131001e+00;  5.8171701e+00;  5.9745498e+00;  6.1952200e+00;  4.8791699e+00;  4.7756801e+00;  4.7017698e+00;  4.0521202e+00;  3.5486701e+00;  3.6692600e+00;  3.0433800e+00;  2.8647499e+00;  4.4992920e+01;  4.5515961e+01;  4.2040810e+01;  3.8665878e+01;  3.2306610e+01;  2.5767120e+01;  2.3037291e+01;  2.1435011e+01;  1.8847151e+01;  1.5426520e+01;  1.4922820e+01;  1.0793690e+01;  1.0066490e+01;  3.6352255e+02;  4.3372015e+02;  4.9872296e+02;  5.0128766e+02;  4.9900006e+02;  4.7487854e+02;  4.7559418e+02;  4.6036932e+02;  4.1873126e+02;  3.8677075e+02;  3.9153531e+02;  3.2858405e+02;  3.1257382e+02
FBOX_310_b_oc;FerryBox;KaiSoerensen;    55.053;    11.009;20090914T151135Z;P10100100;M110100001110030101;     5.000;    70.061;    40.000;   246.461;  2.1146436e-02;  2.2956399e-02;  2.4448620e-02;  2.4734801e-02;  2.5082805e-02;  2.3684826e-02;  2.4284517e-02;  2.4972547e-02;  2.4629888e-02;  2.3800574e-02;  2.4504078e-02;  2.4695068e-02;  2.4546067e-02;  4.0958700e+00;  5.1952600e+00;  6.5554099e+00;  6.7390699e+00;  7.0108399e+00;  5.7356300e+00;  5.6637502e+00;  5.5652900e+00;  4.8515601e+00;  4.2947001e+00;  4.4510398e+00;  3.7213500e+00;  3.5153601e+00;  4.1749760e+01;  4.1261921e+01;  3.6711681e+01;  3.3208439e+01;  2.6634121e+01;  2.0284420e+01;  1.7506340e+01;  1.6107639e+01;  1.3855680e+01;  1.1002770e+01;  1.0436700e+01;  7.1407199e+00;  6.5608301e+00;  3.6144742e+02;  4.3117908e+02;  4.9584482e+02;  4.9835480e+02;  4.9634872e+02;  4.7244421e+02;  4.7336179e+02;  4.5825375e+02;  4.1699594e+02;  3.8517047e+02;  3.9009204e+02;  3.2746066e+02;  3.1166248e+02
FBOX_311_b_oc;FerryBox;KaiSoerensen;    55.055;    11.011;20090914T151155Z;P10100100;M110100001110030101;     5.000;    70.062;    40.000;   246.537;  1.9434136e-02;  2.2107875e-02;  2.5358384e-02;  2.6331152e-02;  2.8159962e-02;  2.7159463e-02;  2.8665390e-02;  2.9987212e-02;  2.9327172e-02;  2.8849811e-02;  3.0188283e-02;  3.1367852e-02;  3.1205085e-02;  3.3171201e+00;  4.0290899e+00;  4.8211899e+00;  4.8631201e+00;  4.8721800e+00;  3.8759699e+00;  3.7651999e+00;  3.6894901e+00;  3.1770000e+00;  2.7707400e+00;  2.8511901e+00;  2.3392601e+00;  2.1984000e+00;  5.0524109e+01;  5.3090191e+01;  5.1965229e+01;  4.8953720e+01;  4.3386360e+01;  3.6976391e+01;  3.4633701e+01;  3.2753220e+01;  2.9602390e+01;  2.5288589e+01;  2.4988791e+01;  1.9419460e+01;  1.8338579e+01;  2.6127164e+02;  2.8720993e+02;  2.9578375e+02;  2.8569199e+02;  2.6167603e+02;  2.3023503e+02;  2.2025099e+02;  2.1015103e+02;  1.8743211e+02;  1.6726508e+02;  1.6654041e+02;  1.3356560e+02;  1.2600789e+02
