MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_413;Rho_wn_IS_442;Rho_wn_IS_491;Rho_wn_IS_551;Rho_wn_IS_668;Rho_wn_IS_870;LwN_IS_413;LwN_IS_442;LwN_IS_491;LwN_IS_530;LwN_IS_551;LwN_IS_668;LwN_IS_870;ExactWavelength_IS_413;ExactWavelength_IS_442;ExactWavelength_IS_491;ExactWavelength_IS_530;ExactWavelength_IS_551;ExactWavelength_IS_668;ExactWavelength_IS_870;AERONET_chla_IS;Surf_press_IS;Wind_speed_IS;O3_IS
LISCO_180_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20100123T191712Z;P10000100;M110100001110030101;     2.000;    67.923;       0.001279;       0.002411;       0.005576;       0.008826;       0.002892;       0.000038;       0.069900;       0.143089;       0.350322;    -999.000000;       0.525390;       0.139912;       0.001140;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       6.371674;    1022.328430;       5.141890;     333.831421
LISCO_181_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20100123T193748Z;P10000100;M110100001110030101;     2.000;    70.132;       0.000172;       0.001790;       0.005487;       0.008440;       0.002785;            NaN;       0.009386;       0.106194;       0.344720;    -999.000000;       0.502402;       0.134742;      -0.008160;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       5.945332;    1022.382263;       5.048517;     333.837006
LISCO_182_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20100127T143841Z;P10000100;M110100001110030101;     2.000;    68.844;       0.000879;       0.002023;       0.004302;       0.008761;       0.002739;       0.000054;       0.048072;       0.120029;       0.270258;    -999.000000;       0.521528;       0.132509;       0.001639;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;      12.940191;    1014.878418;       7.947566;     335.321838
LISCO_183_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20100127T161744Z;P10000100;M110100001110030101;     2.000;    60.746;       0.001889;       0.003448;       0.006054;       0.010476;       0.003997;       0.000339;       0.103268;       0.204569;       0.380314;    -999.000000;       0.623608;       0.193391;       0.010272;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       8.059713;    1015.466675;       8.130145;     335.348785
LISCO_184_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20100127T163844Z;P10000100;M110100001110030101;     2.000;    60.023;       0.002036;       0.003502;       0.006521;       0.010455;       0.003826;       0.000117;       0.111285;       0.207799;       0.409678;    -999.000000;       0.622390;       0.185098;       0.003551;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       6.545336;    1015.591370;       8.168854;     335.354492
LISCO_185_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20100127T171753Z;P10000100;M110100001110030101;     2.000;    59.722;       0.002316;       0.003568;       0.006461;       0.010906;       0.004140;       0.000157;       0.126624;       0.211715;       0.405861;    -999.000000;       0.649200;       0.200265;       0.004763;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       7.533237;    1015.823914;       8.241020;     335.365143
LISCO_186_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20100127T173840Z;P10000100;M110100001110030101;     2.000;    60.128;       0.002365;       0.003649;       0.007193;       0.011131;       0.004268;       0.000384;       0.129292;       0.216543;       0.451867;    -999.000000;       0.662636;       0.206488;       0.011634;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       5.959447;    1015.947327;       8.279330;     335.370789
LISCO_187_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20100127T181740Z;P10000100;M110100001110030101;     2.000;    61.900;       0.002343;       0.003901;       0.007608;       0.012084;       0.004048;       0.000427;       0.128096;       0.231457;       0.477939;    -999.000000;       0.719338;       0.195849;       0.012963;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       6.392865;    1016.198853;       8.324511;     335.381409
LISCO_188_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20100128T193854Z;P10000100;M110100001110030101;     2.000;    69.051;       0.000161;       0.001725;       0.006479;       0.010630;       0.003935;       0.000219;       0.008802;       0.102383;       0.407040;    -999.000000;       0.632793;       0.190380;       0.006654;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       7.125393;    1010.856201;      11.150432;     335.795013
LISCO_189_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20100204T181043Z;P10000100;M110100001110030101;     2.000;    59.456;       0.001591;       0.002634;       0.006262;       0.011463;       0.004575;       0.000482;       0.086975;       0.156285;       0.393378;    -999.000000;       0.682363;       0.221346;       0.014616;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       9.558439;    1024.761719;      10.879696;     338.511841
LISCO_190_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20100212T194025Z;P10000100;M110100001110030101;     2.000;    65.445;       0.003182;       0.004261;       0.007921;       0.014769;       0.005679;       0.000641;       0.173944;       0.252846;       0.497617;    -999.000000;       0.879206;       0.274763;       0.019435;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       9.974371;    1007.477905;       7.847695;     341.668579
LISCO_191_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20100212T201934Z;P10000100;M110100001110030101;     2.000;    70.679;       0.002165;       0.002767;       0.008188;       0.014472;       0.006837;       0.000562;       0.118358;       0.164162;       0.514363;    -999.000000;       0.861484;       0.330765;       0.017053;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       8.716362;    1007.432373;       7.756797;     341.679230
LISCO_192_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20100212T204046Z;P10000100;M110100001110030101;     2.000;    73.789;       0.000515;       0.001979;       0.006314;       0.014102;       0.005821;       0.000344;       0.028147;       0.117414;       0.396668;    -999.000000;       0.839449;       0.281602;       0.010431;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;      17.243380;    1007.407715;       7.707576;     341.684998
LISCO_193_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20100215T201949Z;P10000100;M110100001110030101;     2.000;    69.882;       0.000172;       0.002193;       0.005672;       0.011465;       0.003931;       0.000176;       0.009419;       0.130102;       0.356338;    -999.000000;       0.682496;       0.190163;       0.005333;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;      12.750139;    1005.377075;       5.652494;     343.364716
LISCO_194_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20100221T191851Z;P10000100;M110100001110030101;     2.000;    60.173;       0.000364;       0.001964;       0.004945;       0.007060;       0.001999;            NaN;       0.019927;       0.116561;       0.310642;    -999.000000;       0.420285;       0.096716;      -0.007461;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       4.845057;    1016.171753;       8.915592;     346.536041
LISCO_195_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20100222T173918Z;P10000100;M110100001110030101;     2.000;    52.244;       0.000361;       0.001900;       0.004725;       0.006305;       0.001145;            NaN;       0.019762;       0.112761;       0.296845;    -999.000000;       0.375319;       0.055402;      -0.015990;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       4.054651;    1016.171753;       8.915592;     347.031555
LISCO_196_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20100227T161737Z;P10000100;M110100001110030101;     2.000;    51.190;       0.001046;       0.002739;       0.006381;       0.008559;       0.001853;            NaN;       0.057190;       0.162515;       0.400893;    -999.000000;       0.509518;       0.089660;      -0.008668;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       4.101489;    1016.171753;       8.915592;     349.662933
LISCO_197_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20100301T193834Z;P10000100;M110100001110030101;     2.000;    59.539;       0.001107;       0.003085;       0.007550;       0.009887;       0.002206;            NaN;       0.060532;       0.183086;       0.474307;    -999.000000;       0.588581;       0.106704;      -0.000473;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       3.860757;    1014.863403;       8.257363;     350.801849
LISCO_198_b_oc;LISCO;SamAhmed;    40.955;   -73.342;20100302T173823Z;P10000100;M110100001110030101;     2.000;    48.425;       0.001354;       0.003232;       0.006885;       0.009124;       0.001676;            NaN;       0.074020;       0.191758;       0.432531;    -999.000000;       0.543167;       0.081074;      -0.027411;     413.200012;     442.100006;     491.500000;    -999.000000;     551.299988;     668.400024;     870.799988;       3.963402;    1014.863403;       8.257363;     351.289734
