MATCHUP_ID;Site;PI;Lat_IS;Lon_IS;TIME_IS;PQC;MQC;land_dist_IS;Theta_S;Rho_wn_IS_412;Rho_wn_IS_443;Rho_wn_IS_490;Rho_wn_IS_510;Rho_wn_IS_560;Rho_wn_IS_620;Rho_wn_IS_665;Rho_wn_IS_681;Rho_wn_IS_708;Rho_wn_IS_753;Lw_IS_412;Lw_IS_443;Lw_IS_490;Lw_IS_510;Lw_IS_560;Lw_IS_620;Lw_IS_665;Lw_IS_681;Lw_IS_708;Lw_IS_753;Es_IS_412;Es_IS_443;Es_IS_490;Es_IS_510;Es_IS_560;Es_IS_620;Es_IS_665;Es_IS_681;Es_IS_708;Es_IS_753
MOBY_715_b_oc;MOBY;KennethVoss;    20.829;  -157.200;20031111T000704Z;P10100100;M111110111101110100;    14.000;    47.048;       0.039180;       0.029746;       0.018864;       0.009641;       0.003527;       0.000263;       0.000096;       0.000092;       0.000014;            NaN;       1.131700;       0.964300;       0.662800;       0.339900;       0.119900;       0.008200;       0.002900;       0.002800;       0.000400;            NaN;      92.900002;     104.599998;     114.300003;     115.599998;     111.699997;     103.000000;     100.199997;      97.900002;      89.099998;      84.900002
MOBY_716_b_oc;MOBY;KennethVoss;    20.830;  -157.195;20031112T203410Z;P10100100;M111110111101110100;    14.000;    45.313;       0.035462;       0.027455;       0.018088;       0.009693;       0.003811;       0.000357;       0.000125;       0.000121;       0.000027;       0.000004;       1.093200;       0.950800;       0.676600;       0.364300;       0.137400;       0.011800;       0.004000;       0.003900;       0.000800;       0.000100;      99.000000;     111.500000;     121.300003;     122.800003;     118.099998;     108.800003;     105.199997;     102.800003;      94.199997;      88.099998
MOBY_717_b_oc;MOBY;KennethVoss;    20.826;  -157.191;20031117T203411Z;P10100100;M111110111101110100;    13.000;    46.503;       0.032421;       0.024814;       0.016707;       0.009018;       0.003516;       0.000346;       0.000128;       0.000121;       0.000028;       0.000007;       0.967200;       0.833300;       0.607800;       0.329500;       0.123900;       0.011200;       0.004000;       0.003800;       0.000800;       0.000200;      95.699997;     108.000000;     117.800003;     119.199997;     115.199997;     106.400002;     102.800003;     100.500000;      90.500000;      86.300003
MOBY_718_b_oc;MOBY;KennethVoss;    20.827;  -157.184;20031118T203412Z;P10100100;M111110111101110100;    13.000;    46.730;       0.035533;       0.027549;       0.018707;       0.010210;       0.004004;       0.000361;       0.000136;       0.000129;       0.000029;       0.000004;       1.029800;       0.896800;       0.658800;       0.360700;       0.136400;       0.011300;       0.004100;       0.003900;       0.000800;       0.000100;      92.900002;     104.599998;     113.900002;     115.099998;     111.199997;     102.599998;      99.000000;      96.800003;      86.900002;      83.000000
MOBY_719_b_oc;MOBY;KennethVoss;    20.831;  -157.199;20031119T203412Z;P10100100;M111110111101110100;    14.000;    46.970;       0.031306;       0.024364;       0.016989;       0.009512;       0.003841;       0.000370;       0.000150;       0.000150;       0.000032;       0.000004;       0.930900;       0.817400;       0.618100;       0.348100;       0.135400;       0.012000;       0.004700;       0.004700;       0.000900;       0.000100;      95.099998;     107.500000;     117.199997;     118.699997;     114.500000;     105.599998;     102.099998;      99.800003;      90.699997;      85.599998
MOBY_720_b_oc;MOBY;KennethVoss;    20.813;  -157.191;20031122T203413Z;P10100100;M111110111101110100;    14.000;    47.617;       0.032436;       0.025196;       0.018061;       0.010111;       0.004061;       0.000342;       0.000130;       0.000137;       0.000030;       0.000004;       0.887200;       0.778500;       0.606400;       0.342200;       0.132500;       0.010300;       0.003800;       0.004000;       0.000800;       0.000100;      87.400002;      98.900002;     108.000000;     109.599998;     105.800003;      97.900002;      95.000000;      92.900002;      84.900002;      79.900002
MOBY_721_b_oc;MOBY;KennethVoss;    20.814;  -157.190;20031123T203414Z;P10100100;M111110111101110100;    14.000;    47.832;       0.030926;       0.024335;       0.017340;       0.009755;       0.003962;       0.000355;       0.000118;       0.000122;       0.000026;       0.000004;       0.861700;       0.764400;       0.592800;       0.335800;       0.131700;       0.010900;       0.003500;       0.003600;       0.000700;       0.000100;      89.000000;     100.500000;     109.900002;     111.400002;     107.699997;      99.699997;      96.500000;      94.400002;      85.500000;      81.199997
MOBY_722_b_oc;MOBY;KennethVoss;    20.821;  -157.184;20031127T203415Z;P10100100;M111110111101110100;    13.000;    48.661;       0.026690;       0.021349;       0.015247;       0.008539;       0.003439;       0.000290;       0.000106;       0.000110;       0.000025;            NaN;       0.774600;       0.699200;       0.543900;       0.306500;       0.119400;       0.009300;       0.003300;       0.003400;       0.000700;            NaN;      92.699997;     104.800003;     114.699997;     116.199997;     112.500000;     104.199997;     100.900002;      98.699997;      88.900002;      84.900002
MOBY_723_b_oc;MOBY;KennethVoss;    20.827;  -157.186;20031128T203501Z;P10100100;M111110111101110100;    13.000;    48.738;       0.030464;       0.024430;       0.016667;       0.008957;       0.003453;       0.000319;       0.000112;       0.000105;       0.000023;            NaN;       0.851800;       0.767900;       0.567800;       0.306200;       0.114100;       0.009700;       0.003300;       0.003100;       0.000600;            NaN;      89.599998;     101.000000;     110.199997;     111.400002;     107.800003;      99.699997;      96.199997;      94.099998;      84.099998;      80.800003
MOBY_724_b_oc;MOBY;KennethVoss;    20.824;  -157.204;20031202T203519Z;P10100100;M111110111101110100;    15.000;    49.560;       0.028369;       0.021433;       0.015307;       0.008547;       0.003343;       0.000260;       0.000092;       0.000104;       0.000022;            NaN;       0.895700;       0.772300;       0.606200;       0.340600;       0.129100;       0.009300;       0.003200;       0.003600;       0.000700;            NaN;     100.900002;     115.400002;     127.500000;     129.199997;     125.300003;     116.300003;     112.900002;     110.699997;      99.300003;      95.400002
MOBY_725_b_oc;MOBY;KennethVoss;    20.829;  -157.189;20031203T203600Z;P10100100;M111110111101110100;    13.000;    49.606;       0.035866;       0.028644;       0.021607;       0.012444;       0.005112;       0.000457;       0.000173;       0.000178;       0.000036;       0.000005;       0.883300;       0.787500;       0.638400;       0.367000;       0.144200;       0.011800;       0.004300;       0.004400;       0.000800;       0.000100;      78.400002;      87.599998;      94.400002;      94.800003;      90.699997;      83.099998;      80.099998;      78.400002;      69.699997;      67.000000
MOBY_726_b_oc;MOBY;KennethVoss;    20.827;  -157.192;20031205T203601Z;P10100100;M111110111101110100;    14.000;    49.937;       0.031939;       0.024985;       0.016415;       0.008776;       0.003388;       0.000293;       0.000101;       0.000101;       0.000023;            NaN;       0.900800;       0.795000;       0.567300;       0.303700;       0.113200;       0.009000;       0.003000;       0.003000;       0.000600;            NaN;      90.400002;     102.300003;     111.900002;     112.900002;     109.099998;     100.800003;      97.500000;      95.500000;      84.900002;      82.099998
MOBY_727_b_oc;MOBY;KennethVoss;    20.828;  -157.203;20031206T203531Z;P10100100;M111110111101110100;    14.000;    50.224;       0.042421;       0.033168;       0.023113;       0.012710;       0.005028;       0.000396;       0.000144;       0.000144;       0.000031;       0.000005;       1.062800;       0.932500;       0.701400;       0.385700;       0.146600;       0.010600;       0.003700;       0.003700;       0.000700;       0.000100;      80.099998;      90.099998;      97.800003;      98.500000;      94.699997;      87.099998;      83.900002;      82.099998;      73.000000;      70.300003
MOBY_728_b_oc;MOBY;KennethVoss;    20.818;  -157.202;20031208T203533Z;P10100100;M111110111101110100;    15.000;    50.516;       0.033840;       0.025809;       0.017559;       0.009213;       0.003292;       0.000193;       0.000068;       0.000076;       0.000013;       0.000005;       0.821800;       0.703200;       0.515400;       0.270600;       0.092900;       0.005000;       0.001700;       0.001900;       0.000300;       0.000100;      77.900002;      87.699997;      95.199997;      96.000000;      92.300003;      84.900002;      82.199997;      80.400002;      72.300003;      69.000000
MOBY_729_b_oc;MOBY;KennethVoss;    20.828;  -157.191;20031209T203602Z;P10100100;M111110111101110100;    13.000;    50.538;       0.032490;       0.025442;       0.017533;       0.009692;       0.003842;       0.000347;       0.000130;       0.000137;       0.000030;            NaN;       0.906500;       0.805000;       0.605500;       0.336200;       0.128600;       0.010700;       0.003900;       0.004100;       0.000800;            NaN;      89.199997;     101.400002;     111.300003;     112.599998;     108.699997;     100.400002;      97.500000;      95.400002;      86.099998;      81.900002
